age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,study_efficiency,risk_score,social_stability,G1^2,G1_G2,G2^2,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,subject_portuguese
16,2,2,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,12.0,13.0,13,2.0,0.08566666666666668,4.0,144.0,156.0,169.0,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
15,4,2,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,11.0,13.0,13,2.0,0.010666666666666668,4.0,121.0,143.0,169.0,False,False,True,True,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False
15,4,2,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,11.0,11.0,10,0.5,0.29033333333333333,5.0,121.0,121.0,121.0,False,True,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
15,4,4,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,8.0,10.0,11,1.0,0.07500000000000001,3.0,64.0,80.0,100.0,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
15,3,3,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,10.0,13.0,13,1.0,0.18200000000000002,5.0,100.0,130.0,169.0,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
16,2,1,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,8.0,9.0,10,2.0,0.04266666666666667,4.0,64.0,72.0,81.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False
15,4,3,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,14.0,15.0,15,2.0,0.0,4.0,196.0,210.0,225.0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
15,4,4,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,14.0,15.0,15,2.0,0.021333333333333336,3.0,196.0,210.0,225.0,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False
15,1,2,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,9.0,10.0,9,2.0,0.010666666666666668,4.0,81.0,90.0,100.0,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
16,4,2,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,15.0,16.0,16,2.0,0.010666666666666668,4.0,225.0,240.0,256.0,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False
16,4,4,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,10.0,11.0,11,2.0,0.10700000000000001,2.0,100.0,110.0,121.0,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False
16,1,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,10.0,8.0,11,1.0,0.232,4.0,100.0,80.0,64.0,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
16,1,2,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,8.0,10.0,9,2.0,0.021333333333333336,4.0,64.0,80.0,100.0,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
16,4,3,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,10.0,9.0,9,3.0,0.11066666666666668,3.0,100.0,90.0,81.0,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False
15,4,3,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,10.0,10.0,10,2.0,0.1,3.2,100.0,100.0,100.0,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
16,4,3,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16.0,15.0,15,2.0,0.035666666666666666,5.0,256.0,240.0,225.0,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
15,4,4,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,13.0,13.0,12,4.0,0.22133333333333335,0.8,169.0,169.0,169.0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False
16,3,1,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,7.0,7.0,6,4.0,0.04633333333333334,4.0,49.0,49.0,49.0,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False
15,2,2,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,8.0,9.0,8,2.0,0.060666666666666674,4.0,64.0,72.0,81.0,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False
15,3,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,16.0,16.0,16,4.0,0.139,4.0,256.0,256.0,256.0,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False
16,3,1,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,13.0,15.0,15,4.0,0.0,4.0,169.0,195.0,225.0,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False
15,4,2,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10.0,10.0,10,4.0,0.0,3.0,100.0,100.0,100.0,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
15,1,1,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,8.0,6.0,5,0.6666666666666666,0.3773333333333333,2.4000000000000004,64.0,48.0,36.0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False
16,3,1,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,12.0,12.0,14,1.0,0.060666666666666674,5.0,144.0,144.0,144.0,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False
16,3,3,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,11.0,12.0,11,2.0,0.388,4.0,121.0,132.0,144.0,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False
15,4,3,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,9.0,9.0,10,2.0,0.10700000000000001,4.0,81.0,81.0,81.0,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False
15,4,0,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,11.0,11.0,10,4.0,0.04266666666666667,3.0,121.0,121.0,121.0,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False
16,2,2,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,11.0,11.0,11,4.0,0.05,4.0,121.0,121.0,121.0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False
17,2,1,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,8.0,8.0,10,0.25,0.4106666666666667,4.0,64.0,64.0,64.0,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False
16,3,4,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,5.0,5.0,5,2.0,0.089,2.0,25.0,25.0,25.0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
15,2,3,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,10.0,12.0,12,1.0,0.060666666666666674,2.4000000000000004,100.0,120.0,144.0,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
15,2,3,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,11.0,10.0,11,3.0,0.04633333333333334,5.0,121.0,110.0,100.0,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False
15,3,2,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,7.0,6.0,6,2.0,0.05333333333333334,4.0,49.0,42.0,36.0,False,False,True,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False
15,2,2,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,15.0,15.0,15,2.0,0.07133333333333333,5.0,225.0,225.0,225.0,False,True,True,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False
15,1,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,9.0,10.0,10,2.0,0.08566666666666668,4.0,81.0,90.0,100.0,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False
15,4,4,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,7.0,9.0,8,0.6666666666666666,0.37366666666666665,3.2,49.0,63.0,81.0,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
16,2,2,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,8.0,7.0,6,2.0,0.04633333333333334,4.0,64.0,56.0,49.0,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
15,4,2,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,13.0,14.0,14,3.0,0.07133333333333333,5.0,169.0,182.0,196.0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False
16,2,2,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,11.0,10.0,10,1.0,0.19733333333333333,4.0,121.0,110.0,100.0,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False
16,4,4,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,8.0,6.0,7,2.0,0.24600000000000002,4.0,64.0,48.0,36.0,False,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False
16,3,3,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,7.0,7.0,8,3.0,0.05,3.2,49.0,49.0,49.0,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False
15,4,3,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,16.0,17.0,18,1.0,0.07133333333333333,4.0,256.0,272.0,289.0,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False
16,3,1,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,7.0,6.0,6,2.0,0.09633333333333335,3.0,49.0,42.0,36.0,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False
16,4,2,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,11.0,10.0,10,2.0,0.0,5.0,121.0,110.0,100.0,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False
15,2,2,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6,11.0,13.0,14,4.0,0.032,4.0,121.0,143.0,169.0,False,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False
15,1,1,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,7.0,10.0,10,2.0,0.144,3.0,49.0,70.0,100.0,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False
16,4,3,2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2,11.0,15.0,15,1.0,0.010666666666666668,3.0,121.0,165.0,225.0,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False
16,2,1,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,8.0,9.0,10,2.0,0.010666666666666668,3.2,64.0,72.0,81.0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
16,4,4,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,11.0,14.0,14,1.0,0.057,5.0,121.0,154.0,196.0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False
16,4,3,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,7.0,9.0,8,3.0,0.0,5.0,49.0,63.0,81.0,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
16,4,4,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,7.0,7.0,5,1.0,0.27466666666666667,4.0,49.0,49.0,49.0,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False
16,4,4,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,16.0,17.0,17,3.0,0.0,3.2,256.0,272.0,289.0,False,True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False
15,4,4,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4,10.0,13.0,14,1.0,0.021333333333333336,5.0,100.0,130.0,169.0,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False
15,3,2,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,7.0,6.0,6,2.0,0.1386666666666667,4.0,49.0,42.0,36.0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False
15,3,4,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,16.0,18.0,18,2.0,0.0,5.0,256.0,288.0,324.0,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
15,3,3,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,10.0,11.0,11,4.0,0.05333333333333334,4.0,100.0,110.0,121.0,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
15,2,2,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8,7.0,8.0,8,4.0,0.04266666666666667,5.0,49.0,56.0,64.0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
16,3,3,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,16.0,18.0,18,3.0,0.010666666666666668,5.0,256.0,288.0,324.0,False,True,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False
15,4,4,4,4,0,0,1,1,1,1,1,1,1,1,3,5,3,5,1,6,10.0,13.0,13,4.0,0.18200000000000002,0.8,100.0,130.0,169.0,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False
16,4,4,1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4,14.0,15.0,16,3.0,0.021333333333333336,4.0,196.0,210.0,225.0,False,False,True,True,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False
15,4,4,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6,18.0,19.0,19,1.0,0.032,5.0,324.0,342.0,361.0,False,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
16,3,3,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,7.0,10.0,10,1.5,0.13333333333333333,4.0,49.0,70.0,100.0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False
16,2,2,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6,10.0,13.0,13,1.0,0.16533333333333333,3.0,100.0,130.0,169.0,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False
15,4,2,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,18.0,19.0,19,1.0,0.05333333333333334,3.0,324.0,342.0,361.0,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False
